title                             | id                          | version         | screensaver-title        | package-size | billing-state | bs-libraries-provided | bs-libraries-required   | build-version | bytecode-version | dev-id                                   | dial-title         | expire-date | has-background-task | has-bs-library | has-homescreen-items | has-list-grid-ui | has-remote-sound | has-rsg-components | has-screensaver | has-screensaver-settings | has-theme | has-ui | is-bytecode-package | is-compiled | is-hidden | is-instant-on | is-mounted | is-ndk | is-paid-for | is-rsg-app | is-rsg-component-library | is-server-managed | is-static | is-subscription | is-titan-app | last-exit-code       | location           | major-version | minor-version | package-checksum                                                 | package-format | payment-schedule | renewal-date | rsg-component-libraries-required | sync-scope | ui-resolutions
Power Saver                       | screensaver_backlight       | 1.0.0           | Power Saver              | 37805        |               |                       |                         | 0             |                  | 7e8792cf50f010f3b96951089a4c2ae1a5213fcc |                    |             | false               | false          | false                | false            | false            | false              | true            | false                    | false     | false  | false               | false       | false     | false         | false      | false  | true        |            | false                    | false             | false     | false           |              | EXIT_UNKNOWN         | nvram              | 1             | 0             |                                                                  | zip            |                  |              |                                  | rom        |               
Prime Video                       | 13                          | 12.3.2021122417 |                          | 10199184     | Valid         |                       |                         | 2021122417    | 17               |                                          | AmazonInstantVideo |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | true                | false       | false     | false         | false      | true   | true        | false      | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 12            | 3             | 50820f72fb096462409a958a06599a2635a62df5                         | n/a            | None             |              |                                  | public     | sd,hd         
Red Bull TV                       | 51320                       | 2.2.714         |                          | 1347968      | Valid         |                       | roku_ads_lib            | 714           | 17               |                                          |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | true                | false       | false     | false         | false      | false  | true        | false      | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 2             | 2             | 0f616575f459023a00377cb6c6deeb4e0142e755                         | n/a            | None             |              |                                  | public     | hd            
Roku 4K Screensaver               | 72728                       | 2.4.2           | Roku 4K Screensaver      | 716800       | Valid         |                       |                         | 2             |                  | 81140c6e6e65d1b2cad2a517fd9fffb38ddc1a3f |                    |             | false               | false          | false                | false            | false            | true               | true            | true                     | false     | false  | false               | false       | false     | false         | false      | false  | true        |            | false                    | true              | false     | false           |              | EXIT_UNKNOWN         | nvram-and-unloaded | 2             | 4             | cdafcf28ad8cfd62378bf2ff3a2e26019aedb12012dbb657de6a782196dba55a | cramfs         | None             |              |                                  | public     |               
Roku AV Sync                      | 639619                      | 1.0.2           |                          | 32768        | Valid         |                       |                         | 2             |                  | f0d2173bc894fd0742e6ba5c4d6763e373382404 |                    |             | false               | false          | false                | false            | false            | true               | false           |                          | false     | true   | false               | false       | true      | false         | false      | false  | true        | true       | false                    | true              | false     | false           | false        | EXIT_UNKNOWN         | nvram-and-unloaded | 1             | 0             | 6691fac37c6c775b545d4bdc3a09a58252d07019ab44ebf96f33ba5871e6b66e | zip            | None             |              |                                  | public     | sd,hd         
Roku Ads Library                  | 58484                       | 2.17.22         |                          | 847872       | Valid         | roku_ads_lib          |                         | 22            | 17               | a354dbb26282ecd58f0fe3c031b6c1d318530a88 |                    |             | false               | true           | false                | false            | false            | true               | false           |                          | false     | true   | true                | true        | true      | false         | true       | false  | true        | true       | false                    | true              | false     | false           | false        | EXIT_UNKNOWN         | nvram-and-unloaded | 2             | 17            | 50fa4807cc40871f3e2bbbab5d615dfe1b4da68f3b00d501311783fe0cb39abb | squashfs-zlib  | None             |              |                                  | public     | sd,hd         
Roku Analog Clock                 | 5534                        | 1.1.1           | Roku Analog Clock        | 163840       | Valid         |                       |                         | 00001         |                  | 20f6b136a3447475d08e9e5376150c85900bc2c7 |                    |             | false               | false          | false                | false            | false            | false              | true            | false                    | false     | false  | false               | false       | false     | false         | false      | false  | true        |            | false                    | true              | false     | false           |              | EXIT_UNKNOWN         | nvram-and-unloaded | 1             | 1             | 65ef88a70d1cb5be83703552a19cbd0438a794cac82ccc2d606265613bf17887 | zip            | None             |              |                                  | public     |               
Roku Analytics Library            | 109022                      | 1.4.7           |                          | 57344        | Valid         |                       |                         | 7             | 17               | 5e6dc1d455716b4af789e438a2d6f03cb9a6d62c |                    |             | false               | false          | false                | false            | false            | true               | false           | false                    | false     | false  | true                | true        | true      | false         | true       | false  | true        |            | true                     | true              | false     | false           |              | EXIT_UNKNOWN         | nvram-and-unloaded | 1             | 4             | 533c3ca64676f273ec65c2da373175ef768fb00cbd174ea16e5c7ecf9ceb543c | squashfs-zlib  | None             |              |                                  | public     |               
Roku Browser                      | 262399                      | 68.2.17         |                          | 26332048     | Valid         | roku_browser          |                         | 17            |                  |                                          |                    |             | false               | true           | false                | false            | false            | false              | false           |                          | false     | false  | false               | false       | false     | false         | false      | true   | true        |            | false                    | false             | false     | false           |              | EXIT_UNKNOWN         | unloaded           | 68            | 2             | a57ded8d3c74a4e49bd7c3a1329a4d2c9c5dda69                         | n/a            | None             |              |                                  | public     |               
Roku Content Player               | 43508                       | 1.6.6           |                          | 761856       | Valid         |                       | roku_ads_lib            | 6             |                  | ecae9a54fa4a6bce86513f6ebd4405fda00709b0 |                    |             | false               | false          | false                | false            | false            | true               | false           |                          | false     | true   | false               | false       | true      | false         | false      | false  | true        | true       | false                    | true              | false     | false           | false        | EXIT_UNKNOWN         | nvram-and-unloaded | 1             | 6             | efbefe04beea12bde12f26189c78188688f4f10956b65ab8ef9d8314224dbffe | squashfs-zlib  | None             |              |                                  | public     | hd,fhd        
Roku Diagnostics                  | 611688                      | 1.0.18          |                          | 24576        | Valid         |                       |                         | 00018         | 15               | a7dec7e2a2ff21c941860c06aacb30868a65f58f |                    |             | true                | false          | false                | false            | false            | false              | false           | false                    | false     | false  | true                | false       | true      | false         | false      | false  | true        |            | false                    | true              | false     | false           |              | EXIT_UNKNOWN         | nvram-and-unloaded | 1             | 0             | 0963fbb69f4bb2e34b3d3bdd8537a7ecd345f9c446b256801fb56ae6c0ba41d2 | squashfs-zlib  | None             |              |                                  | public     |               
Roku Digital Clock                | 5533                        | 1.1.1           | Roku Digital Clock       | 122880       | Valid         |                       |                         | 00001         |                  | 20cadb6ed76af2e79503afd893a2e64447c28ae9 |                    |             | false               | false          | false                | false            | false            | false              | true            | false                    | false     | false  | false               | false       | false     | false         | false      | false  | true        |            | false                    | true              | false     | false           |              | EXIT_UNKNOWN         | nvram-and-unloaded | 1             | 1             | b5f88e4b56d83eee35e8374806583eb06737eda2d971e487beaadb373cb89f6f | zip            | None             |              |                                  | public     |               
Roku Dynamic Menu                 | 562859                      | 5.5.7           |                          | 53248        | Valid         |                       |                         | 7             | 17               | 627c3de5a6aafb382ea448f62dcb14b3a8d5c50c |                    |             | false               | false          | true                 | false            | false            | true               | false           | false                    | false     | true   | true                | true        | true      | false         | true       | false  | true        | true       | false                    | true              | false     | false           | false        | EXIT_UNKNOWN         | nvram-and-unloaded | 5             | 5             | 2cd482350ced90d8277a1f8b6d818a16f1ae2bebfdd3e861faa26d404afd4679 | squashfs-zlib  | None             |              | roku_grandcentral                | public     | hd,fhd        
Roku Ecosystem                    | 173735                      | 1.7.2           |                          | 77824        | Valid         |                       |                         | 2             | 15               | 95e8db0f0f82236c10237e11f8dbe6e0f229151f |                    |             | false               | false          | false                | false            | false            | true               | false           | false                    | false     | false  | true                | false       | true      | false         | false      | true   | true        |            | true                     | true              | false     | false           |              | EXIT_UNKNOWN         | nvram-and-unloaded | 1             | 7             | 72e367d3008145c2527dcbb94456296fe01055a658406c2454759272fc0c255d | squashfs-zlib  | None             |              |                                  | public     |               
